position_lat,distance,enhanced_altitude,timestamp,position_long,speed,altitude,power,cadence
-11.6429637372494,32007.22,-5.39999999999998,2023-03-13T15:29:25Z,166.962028741837,10.683,-5.39999999999998,225,85
-11.6430026292801,32017.73,-5.39999999999998,2023-03-13T15:29:26Z,166.962114572525,10.642,-5.39999999999998,225,85
-11.6430415213108,32028.47,-5.39999999999998,2023-03-13T15:29:27Z,166.96221113205,10.602,-5.39999999999998,225,85
-11.6430804133415,32039,-5.39999999999998,2023-03-13T15:29:28Z,166.962286233902,10.567,-5.39999999999998,225,85
-11.6431206464767,32049.53,-5.39999999999998,2023-03-13T15:29:29Z,166.96237206459,10.533,-5.39999999999998,225,85
-11.6431595385075,32060.02,-5.39999999999998,2023-03-13T15:29:30Z,166.962468624115,10.502,-5.39999999999998,225,85
-11.6432011127472,32070.6,-5.39999999999998,2023-03-13T15:29:31Z,166.962554454803,10.473,-5.39999999999998,225,85
-11.6432440280914,32081.02,-5.39999999999998,2023-03-13T15:29:32Z,166.962640285492,10.446,-5.39999999999998,225,85
-11.6432909667492,32091.42,-5.39999999999998,2023-03-13T15:29:33Z,166.96272611618,10.421,-5.39999999999998,225,85
-11.643343269825,32101.94,-5.39999999999998,2023-03-13T15:29:34Z,166.962801218033,10.398,-5.39999999999998,225,85
-11.6434022784233,32112.28,-5.39999999999998,2023-03-13T15:29:35Z,166.962876319885,10.377,-5.39999999999998,225,85
-11.6434666514397,32122.66,-5.39999999999998,2023-03-13T15:29:36Z,166.962940692902,10.357,-5.39999999999998,225,85
-11.643533706665,32132.99,-5.39999999999998,2023-03-13T15:29:37Z,166.963005065918,10.338,-5.39999999999998,225,85
-11.6436047852039,32143.25,-5.39999999999998,2023-03-13T15:29:38Z,166.963058710098,10.321,-5.39999999999998,225,85
-11.6436772048473,32153.57,-5.39999999999998,2023-03-13T15:29:39Z,166.963123083115,10.305,-5.39999999999998,225,85
-11.6437523066998,32163.91,-5.39999999999998,2023-03-13T15:29:40Z,166.963187456131,10.29,-5.39999999999998,225,85
-11.6438300907612,32174.17,-5.39999999999998,2023-03-13T15:29:41Z,166.963230371475,10.276,-5.39999999999998,225,85
-11.6439092159271,32184.53,-5.39999999999998,2023-03-13T15:29:42Z,166.963294744492,10.263,-5.39999999999998,225,85
-11.6439910233021,32194.77,-5.39999999999998,2023-03-13T15:29:43Z,166.963326931,10.251,-5.39999999999998,225,85
-11.6440741717815,32204.91,-5.39999999999998,2023-03-13T15:29:44Z,166.963369846344,10.24,-5.39999999999998,225,85
-11.64416000247,32215.14,-5.39999999999998,2023-03-13T15:29:45Z,166.963412761688,10.23,-5.39999999999998,225,85
-11.6442458331585,32225.38,-5.39999999999998,2023-03-13T15:29:46Z,166.963444948196,10.22,-5.39999999999998,225,85
-11.6443356871605,32235.59,-5.39999999999998,2023-03-13T15:29:47Z,166.963455677032,10.212,-5.39999999999998,225,85
-11.644424200058,32245.76,-5.39999999999998,2023-03-13T15:29:48Z,166.963487863541,10.203,-5.39999999999998,225,85
-11.64451405406,32255.88,-5.39999999999998,2023-03-13T15:29:49Z,166.963509321213,10.196,-5.39999999999998,225,85
-11.644606590271,32266.09,-5.39999999999998,2023-03-13T15:29:50Z,166.963520050049,10.189,-5.39999999999998,225,85
-11.6446977853775,32276.25,-5.39999999999998,2023-03-13T15:29:51Z,166.963520050049,10.182,-5.39999999999998,225,85
-11.6447903215885,32286.45,-5.39999999999998,2023-03-13T15:29:52Z,166.963520050049,10.176,-5.39999999999998,225,85
-11.644881516695,32296.63,-5.39999999999998,2023-03-13T15:29:53Z,166.963520050049,10.17,-5.39999999999998,225,85
-11.6449727118015,32306.9,-5.39999999999998,2023-03-13T15:29:54Z,166.963509321213,10.165,-5.39999999999998,225,85
